accession	verdict	gene	species	length	pfams	origin	source
XP_085446385.1	outside UniProt namespace	ITPR1		2716		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085480633.1	outside UniProt namespace	ITPR1		2797		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085480634.1	outside UniProt namespace	ITPR1		2712		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085480635.1	outside UniProt namespace	ITPR1		2709		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085480636.1	outside UniProt namespace	ITPR1		2714		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085480637.1	outside UniProt namespace	ITPR1		2699		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085503275.1	outside UniProt namespace	ITPR3		2964		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085508910.1	outside UniProt namespace	ITPR2		2712		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085508911.1	outside UniProt namespace	ITPR2		2698		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085508912.1	outside UniProt namespace	ITPR2		2683		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085508913.1	outside UniProt namespace	ITPR2		2669		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085536252.1	outside UniProt namespace	ITPR3		2573		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085542944.1	outside UniProt namespace	ITPR1		2757		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085543480.1	outside UniProt namespace	ITPR2		2701		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085635697.1	outside UniProt namespace	ITPR2		2690		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085636936.1	outside UniProt namespace	ITPR3		2691		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085695904.1	outside UniProt namespace	ITPR2		2701		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085696320.1	outside UniProt namespace	ITPR1		2747		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085696321.1	outside UniProt namespace	ITPR1		2746		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085766420.1	outside UniProt namespace	ITPR3		2683		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085766427.1	outside UniProt namespace	ITPR3		2682		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085766436.1	outside UniProt namespace	ITPR3		2661		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085766444.1	outside UniProt namespace	ITPR3		2643		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085766453.1	outside UniProt namespace	ITPR3		2630		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085766460.1	outside UniProt namespace	ITPR3		2621		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085766470.1	outside UniProt namespace	ITPR3		2618		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085766479.1	outside UniProt namespace	ITPR3		2160		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085771207.1	outside UniProt namespace	ITPR2		2687		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085771208.1	outside UniProt namespace	ITPR2		2687		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085771209.1	outside UniProt namespace	ITPR2		2683		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085771210.1	outside UniProt namespace	ITPR2		2655		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085866078.1	outside UniProt namespace	ITPR2		2699		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085867522.1	outside UniProt namespace	ITPR3		2666		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085867523.1	outside UniProt namespace	ITPR3		2657		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085883861.1	outside UniProt namespace	ITPR2		2702		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085883862.1	outside UniProt namespace	ITPR2		2674		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085883863.1	outside UniProt namespace	ITPR2		2670		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085902084.1	outside UniProt namespace	ITPR3		2707		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085902091.1	outside UniProt namespace	ITPR3		2707		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085902099.1	outside UniProt namespace	ITPR3		2699		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085902105.1	outside UniProt namespace	ITPR3		2690		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085902109.1	outside UniProt namespace	ITPR3		2686		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085902119.1	outside UniProt namespace	ITPR3		2685		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085902128.1	outside UniProt namespace	ITPR3		2682		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085902139.1	outside UniProt namespace	ITPR3		2377		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085902148.1	outside UniProt namespace	ITPR3		2352		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085902155.1	outside UniProt namespace	ITPR3		2348		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085902165.1	outside UniProt namespace	ITPR3		2311		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085902174.1	outside UniProt namespace	ITPR3		2199		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085926001.1	outside UniProt namespace	ITPR3		2683		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085926002.1	outside UniProt namespace	ITPR3		2671		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085926004.1	outside UniProt namespace	ITPR3		2658		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085926005.1	outside UniProt namespace	ITPR3		2643		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085926006.1	outside UniProt namespace	ITPR3		2248		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085926007.1	outside UniProt namespace	ITPR3		2231		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085929196.1	outside UniProt namespace	ITPR2		2695		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085929197.1	outside UniProt namespace	ITPR2		2683		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085929198.1	outside UniProt namespace	ITPR2		2663		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085964675.1	outside UniProt namespace	ITPR2		2687		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085964676.1	outside UniProt namespace	ITPR2		2655		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085964677.1	outside UniProt namespace	ITPR2		2351		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085983607.1	outside UniProt namespace	ITPR3		2688		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_085983616.1	outside UniProt namespace	ITPR3		2683		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086015128.1	outside UniProt namespace	ITPR3		2687		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086019159.1	outside UniProt namespace	ITPR2		2689		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086064177.1	outside UniProt namespace	ITPR2		2691		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086064178.1	outside UniProt namespace	ITPR2		2689		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086069045.1	outside UniProt namespace	ITPR3		2686		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086069046.1	outside UniProt namespace	ITPR3		2683		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086132848.1	outside UniProt namespace	ITPR3		2687		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086132849.1	outside UniProt namespace	ITPR3		2687		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086154401.1	outside UniProt namespace	ITPR2		2698		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086154402.1	outside UniProt namespace	ITPR2		2694		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086222746.1	outside UniProt namespace	ITPR1		2709		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086222747.1	outside UniProt namespace	ITPR1		2709		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086222748.1	outside UniProt namespace	ITPR1		2694		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086222749.1	outside UniProt namespace	ITPR1		2694		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086222750.1	outside UniProt namespace	ITPR1		2687		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086222751.1	outside UniProt namespace	ITPR1		2087		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086222752.1	outside UniProt namespace	ITPR1		1691		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086222753.1	outside UniProt namespace	ITPR1		2748		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086227327.1	outside UniProt namespace	ITPR3		2664		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086257778.1	outside UniProt namespace	ITPR2		2701		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086257779.1	outside UniProt namespace	ITPR2		2639		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086257780.1	outside UniProt namespace	ITPR2		2517		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086322625.1	outside UniProt namespace	ITPR2		2700		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086326640.1	outside UniProt namespace	ITPR1		2764		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086326641.1	outside UniProt namespace	ITPR1		2773		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086326642.1	outside UniProt namespace	ITPR1		2749		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086326643.1	outside UniProt namespace	ITPR1		2712		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086326644.1	outside UniProt namespace	ITPR1		2721		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086326645.1	outside UniProt namespace	ITPR1		2697		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086326646.1	outside UniProt namespace	ITPR1		2764		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086332552.1	outside UniProt namespace	ITPR3		2664		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086332553.1	outside UniProt namespace	ITPR3		2662		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086467384.1	outside UniProt namespace	ITPR2		2700		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086475035.1	outside UniProt namespace	ITPR1		2764		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086475036.1	outside UniProt namespace	ITPR1		2764		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086475037.1	outside UniProt namespace	ITPR1		2759		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086475039.1	outside UniProt namespace	ITPR1		2756		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086475040.1	outside UniProt namespace	ITPR1		2741		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086483532.1	outside UniProt namespace	ITPR3		2664		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086553668.1	outside UniProt namespace	ITPR1		2749		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086553669.1	outside UniProt namespace	ITPR1		2749		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086553670.1	outside UniProt namespace	ITPR1		2748		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086553671.1	outside UniProt namespace	ITPR1		2748		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086553672.1	outside UniProt namespace	ITPR1		2734		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086553673.1	outside UniProt namespace	ITPR1		2733		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086553674.1	outside UniProt namespace	ITPR1		2709		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086553675.1	outside UniProt namespace	ITPR1		2709		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086553676.1	outside UniProt namespace	ITPR1		2694		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086562737.1	outside UniProt namespace	ITPR3		2671		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086562738.1	outside UniProt namespace	ITPR3		2668		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086562739.1	outside UniProt namespace	ITPR3		2349		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086569919.1	outside UniProt namespace	ITPR2		2700		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086569920.1	outside UniProt namespace	ITPR2		2665		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086569921.1	outside UniProt namespace	ITPR2		2639		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086569922.1	outside UniProt namespace	ITPR2		2639		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086569923.1	outside UniProt namespace	ITPR2		2517		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086584505.1	outside UniProt namespace	ITPR1		2764		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086587306.1	outside UniProt namespace	ITPR2		2699		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086587307.1	outside UniProt namespace	ITPR2		2667		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086587308.1	outside UniProt namespace	ITPR2		2627		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086612157.1	outside UniProt namespace	ITPR1		2750		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086613113.1	outside UniProt namespace	ITPR2		2700		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086621552.1	outside UniProt namespace	ITPR3		2691		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086621553.1	outside UniProt namespace	ITPR3		2664		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086702317.1	outside UniProt namespace	ITPR1		2787		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086702318.1	outside UniProt namespace	ITPR1		2786		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086702319.1	outside UniProt namespace	ITPR1		2778		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086702320.1	outside UniProt namespace	ITPR1		2778		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086702321.1	outside UniProt namespace	ITPR1		2777		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086702322.1	outside UniProt namespace	ITPR1		2773		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086702324.1	outside UniProt namespace	ITPR1		2773		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086702325.1	outside UniProt namespace	ITPR1		2772		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086702326.1	outside UniProt namespace	ITPR1		2765		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086702327.1	outside UniProt namespace	ITPR1		2759		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086702328.1	outside UniProt namespace	ITPR1		2758		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086702329.1	outside UniProt namespace	ITPR1		2758		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086702330.1	outside UniProt namespace	ITPR1		2749		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086702331.1	outside UniProt namespace	ITPR1		2740		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086702332.1	outside UniProt namespace	ITPR1		2744		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086702333.1	outside UniProt namespace	ITPR1		2727		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086702335.1	outside UniProt namespace	ITPR1		2718		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086702336.1	outside UniProt namespace	ITPR1		2613		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086702337.1	outside UniProt namespace	ITPR1		2764		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086702338.1	outside UniProt namespace	ITPR1		2763		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086702339.1	outside UniProt namespace	ITPR1		2735		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086702340.1	outside UniProt namespace	ITPR1		2726		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086702341.1	outside UniProt namespace	ITPR1		2748		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086702342.1	outside UniProt namespace	ITPR1		2711		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086717874.1	outside UniProt namespace	ITPR3		2664		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086741137.1	outside UniProt namespace	ITPR2		2700		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086741138.1	outside UniProt namespace	ITPR2		2700		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086741139.1	outside UniProt namespace	ITPR2		2699		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086741140.1	outside UniProt namespace	ITPR2		2684		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086741141.1	outside UniProt namespace	ITPR2		2658		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086741143.1	outside UniProt namespace	ITPR2		2643		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086741144.1	outside UniProt namespace	ITPR2		2638		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086741145.1	outside UniProt namespace	ITPR2		2633		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086741146.1	outside UniProt namespace	ITPR2		2623		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086741147.1	outside UniProt namespace	ITPR2		2623		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086741148.1	outside UniProt namespace	ITPR2		2618		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086741149.1	outside UniProt namespace	ITPR2		2596		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086741150.1	outside UniProt namespace	ITPR2		2581		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086776353.1	outside UniProt namespace	ITPR2		2712		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086776359.1	outside UniProt namespace	ITPR2		2698		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086776362.1	outside UniProt namespace	ITPR2		2697		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086776368.1	outside UniProt namespace	ITPR2		2683		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086776372.1	outside UniProt namespace	ITPR2		2669		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086779316.1	outside UniProt namespace	ITPR3		2677		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086795335.1	outside UniProt namespace	ITPR1		2735		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086991398.1	outside UniProt namespace	ITPR1		2766		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086991399.1	outside UniProt namespace	ITPR1		2761		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086991400.1	outside UniProt namespace	ITPR1		2760		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086991401.1	outside UniProt namespace	ITPR1		2755		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086991402.1	outside UniProt namespace	ITPR1		2749		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086991403.1	outside UniProt namespace	ITPR1		2747		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
XP_086991404.1	outside UniProt namespace	ITPR1		2743		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
YEX57634.1	outside UniProt namespace	ITPR3		2665		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
YEX57635.1	outside UniProt namespace	ITPR3		2664		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
YFO13674.1	outside UniProt namespace	ITPR2		2701		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
YFO13675.1	outside UniProt namespace	ITPR2		2517		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
YFO49862.1	outside UniProt namespace	ITPR1		2749		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
YFO49863.1	outside UniProt namespace	ITPR1		2749		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
YFO49864.1	outside UniProt namespace	ITPR1		2748		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
YFO49865.1	outside UniProt namespace	ITPR1		2734		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
YFO49866.1	outside UniProt namespace	ITPR1		2734		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
YFO49867.1	outside UniProt namespace	ITPR1		2719		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
YFO49868.1	outside UniProt namespace	ITPR1		2709		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
YFO52091.1	outside UniProt namespace	ITPR3		2664		bundle:2026-08-18_091322_itpr1_itpr2_itpr3	NCBI
